ProductID,ProductName,Category,StockLevel,RestockingFrequency,LastRestocked
1,Mountain-X100,Mountain Bike,50,30 days,30/03/2023
2,Roadster-200,Road Bike,75,45 days,20/03/2023
3,Touring-T50,Touring Bike,25,60 days,10/03/2023
4,Commuter-C200,Commuter Bike,35,30 days,12/04/2023
5,Kidz-K50,Kid's Bike,20,45 days,2/04/2023
6,Trail-T200,Trail Bike,15,60 days,3/04/2023
7,Mountain-X200,No Category Provided,45,30 days,4/04/2023
8,Roadster-300,Road Bike,90,45 days,5/04/2023
9,Touring-T100,Touring Bike,20,60 days,6/04/2023
10,Commuter-C300,Commuter Bike,40,30 days,7/04/2023
11,Kidz-K100,Kid's Bike,30,45 days,8/04/2023
12,Trail-T300,Trail Bike,10,60 days,9/04/2023
13,Mountain-X300,Mountain Bike,55,30 days,10/04/2023
14,Roadster-400,Road Bike,110,45 days,11/04/2023
15,Touring-T200,No Category Provided,30,60 days,12/04/2023
16,Commuter-C400,Commuter Bike,25,30 days,13/04/2023
17,Kidz-K150,Kid's Bike,25,45 days,14/04/2023
18,Trail-T400,Trail Bike,5,60 days,15/04/2023
19,Mountain-X400,Mountain Bike,60,30 days,16/04/2023
20,Roadster-500,Road Bike,130,45 days,17/04/2023
21,Touring-T300,Touring Bike,40,60 days,18/04/2023
22,Commuter-C500,Commuter Bike,30,30 days,19/04/2023
23,Kidz-K200,Kid's Bike,15,45 days,20/04/2023
24,Trail-T500,Trail Bike,5,60 days,21/04/2023
25,Mountain-X500,Mountain Bike,70,30 days,22/04/2023
26,Roadster-600,Road Bike,150,45 days,23/04/2023
27,Touring-T400,Touring Bike,45,60 days,24/04/2023
28,Commuter-C600,Commuter Bike,20,30 days,25/04/2023
29,Kidz-K250,Kid's Bike,20,45 days,26/04/2023
30,Trail-T600,Trail Bike,10,60 days,27/04/2023
31,Mountain-X600,Mountain Bike,80,30 days,28/04/2023
32,Roadster-700,Road Bike,200,45 days,29/04/2023
33,Touring-T500,Touring Bike,50,60 days,30/04/2023
34,Commuter-C700,Commuter Bike,15,30 days,1/05/2023
35,Kidz-K300,Kid's Bike,25,45 days,2/05/2023
36,Trail-T700,Trail Bike,5,60 days,3/05/2023
37,Mountain-X700,Mountain Bike,90,30 days,4/05/2023
38,Roadster-800,Road Bike,250,45 days,5/05/2023
39,Touring-T600,Touring Bike,60,60 days,6/05/2023
40,Commuter-C800,Commuter Bike,10,30 days,7/05/2023
41,Kidz-K350,Kid's Bike,15,45 days,8/05/2023
42,Trail-T800,Trail Bike,5,60 days,9/05/2023
43,Mountain-X800,Mountain Bike,100,30 days,10/05/2023
44,Roadster-900,Road Bike,300,45 days,11/05/2023
45,Touring-T700,Touring Bike,70,60 days,12/05/2023
46,Commuter-C900,Commuter Bike,5,30 days,13/05/2023
47,Kidz-K400,Kid's Bike,10,45 days,14/05/2023
48,Trail-T900,Trail Bike,5,60 days,15/05/2023
49,Mountain-X900,Mountain Bike,120,30 days,16/05/2023
50,Roadster-1000,Road Bike,350,45 days,17/05/2023
51,Touring-T800,Touring Bike,80,60 days,18/05/2023
52,Commuter-C1000,Commuter Bike,2,30 days,19/05/2023
