issue_id,source_table,issue_type,severity,record_count_affected,detected_date,resolution_status,assigned_to
1,raw_ed_presentations,Missing patient gender,Medium,36,2025-03-14,Accepted,Business Intelligence
2,raw_ed_presentations,Negative length of stay,Low,381,2025-02-05,Resolved,Data Engineering
3,raw_ed_presentations,Missing patient gender,Critical,234,2025-02-04,In Progress,IT Operations
4,raw_ed_presentations,Missing patient gender,Medium,46,2025-01-24,Open,Data Engineering
5,raw_ed_presentations,Missing DRG code,Medium,19,2025-02-02,In Progress,Business Intelligence
6,raw_ed_presentations,Negative length of stay,High,335,2025-02-06,In Progress,Data Engineering
7,raw_ed_presentations,Departure before arrival timestamp,Critical,334,2025-01-21,Resolved,IT Operations
8,raw_hospital_admissions,Missing patient gender,High,470,2025-02-28,Open,Business Intelligence
9,raw_ed_presentations,Missing triage category,High,141,2025-02-21,Resolved,Clinical Coding
10,raw_hospital_admissions,Missing triage category,Medium,276,2025-03-25,Resolved,Data Engineering
11,raw_ed_presentations,Invalid hospital_id reference,Low,32,2025-03-31,Resolved,Business Intelligence
12,raw_hospital_admissions,Departure before arrival timestamp,High,417,2025-01-23,Open,Business Intelligence
13,raw_hospital_admissions,Departure before arrival timestamp,Critical,467,2025-03-08,Accepted,Clinical Coding
14,raw_ed_presentations,Invalid hospital_id reference,High,500,2025-02-22,In Progress,Clinical Coding
15,raw_ed_presentations,Missing DRG code,High,442,2025-02-23,Open,Business Intelligence
16,raw_hospital_admissions,Missing patient gender,Medium,458,2025-01-21,Resolved,Business Intelligence
17,raw_hospital_admissions,Inconsistent date format,Medium,151,2025-02-23,Resolved,Data Engineering
18,raw_hospital_admissions,Inconsistent date format,Medium,142,2025-02-28,Resolved,Business Intelligence
19,raw_hospital_admissions,Departure before arrival timestamp,Medium,88,2025-01-29,Accepted,IT Operations
20,raw_ed_presentations,Missing DRG code,Low,334,2025-01-09,Resolved,IT Operations
21,raw_ed_presentations,Future admission date,High,279,2025-03-07,Resolved,Clinical Coding
22,raw_hospital_admissions,Negative length of stay,Medium,84,2025-01-20,Resolved,Clinical Coding
23,raw_hospital_admissions,Future admission date,Medium,260,2025-01-16,Accepted,Business Intelligence
