CampaignID,CampaignName,StartDate,EndDate,Channel,Budget,ProductID
CAM0001,Fundamental 3rdgeneration parallelism,2026-01-31,2026-02-19,Social,46564.22,P00031
CAM0002,Intuitive client-driven circuit,2026-01-31,2026-03-20,Social,25141.06,P00062
CAM0003,Multi-channeled zero-defect frame,2026-01-31,2026-02-26,Search,39609.83,P00085
CAM0004,Innovative systemic extranet,2026-01-31,2026-02-25,Email,47025.7,P00058
CAM0005,Visionary cohesive archive,2026-01-31,2026-03-03,Social,40111.16,P00079
CAM0006,Reactive attitude-oriented utilization,2026-01-31,2026-02-18,Search,33251.85,P00060
CAM0007,Front-line hybrid secured line,2026-01-31,2026-03-17,Search,28948.88,P00050
CAM0008,Realigned user-facing ability,2026-01-31,2026-03-20,Email,43566.07,P00074
CAM0009,Down-sized discrete installation,2026-01-31,2026-03-13,Search,27375.17,P00109
CAM0010,Networked even-keeled superstructure,2026-01-31,2026-02-23,Email,19405.23,P00074
CAM0011,Distributed transitional orchestration,2026-01-31,2026-02-26,Social,49738.64,P00005
CAM0012,Assimilated demand-driven encoding,2026-01-31,2026-03-27,Search,19321.42,P00068
CAM0013,Total solution-oriented encryption,2026-01-31,2026-02-14,Social,33959.73,P00088
CAM0014,Object-based heuristic productivity,2026-01-31,2026-03-26,Email,21590.64,P00090
CAM0015,Fully-configurable modular functionalities,2026-01-31,2026-03-03,Email,34860.66,P00112
CAM0016,Persistent grid-enabled synergy,2026-01-31,2026-03-09,Social,22142.26,P00080
CAM0017,Realigned scalable standardization,2026-01-31,2026-03-07,Search,25548.6,P00005
CAM0018,Managed optimizing monitoring,2026-01-31,2026-02-15,Search,10617.15,P00036
CAM0019,Focused neutral benchmark,2026-01-31,2026-03-20,Email,40027.06,P00044
CAM0020,Profound needs-based product,2026-01-31,2026-03-09,Social,16304.26,P00120
CAM0021,De-engineered holistic task-force,2026-01-31,2026-03-19,Social,25730.86,P00051
CAM0022,Profit-focused solution-oriented help-desk,2026-01-31,2026-02-26,Email,20885.9,P00105
CAM0023,Innovative didactic monitoring,2026-01-31,2026-03-25,Social,13356.0,P00032
CAM0024,Profit-focused bandwidth-monitored success,2026-01-31,2026-03-26,Email,35758.65,P00095
CAM0025,Vision-oriented high-level data-warehouse,2026-01-31,2026-03-22,Social,40529.08,P00107
CAM0026,Innovative background framework,2026-01-31,2026-02-28,Email,29578.19,P00116
CAM0027,Distributed eco-centric circuit,2026-01-31,2026-03-22,Email,20308.37,P00022
CAM0028,Configurable heuristic hub,2026-01-31,2026-03-02,Email,35801.12,P00118
CAM0029,Fundamental 5thgeneration paradigm,2026-01-31,2026-03-06,Email,28986.81,P00044
CAM0030,Right-sized analyzing alliance,2026-01-31,2026-04-01,Social,13005.44,P00044
CAM0031,Virtual regional access,2026-01-31,2026-03-10,Email,48588.26,P00022
CAM0032,Re-engineered scalable data-warehouse,2026-01-31,2026-03-11,Search,14974.35,P00089
CAM0033,Streamlined intermediate alliance,2026-01-31,2026-02-28,Social,28838.34,P00101
CAM0034,Sharable holistic archive,2026-01-31,2026-03-29,Social,9599.93,P00111
CAM0035,Reactive fresh-thinking project,2026-01-31,2026-03-18,Email,30197.01,P00051
CAM0036,Virtual disintermediate definition,2026-01-31,2026-03-09,Social,6154.67,P00083
CAM0037,Multi-channeled didactic help-desk,2026-01-31,2026-03-17,Search,16828.22,P00050
CAM0038,Re-engineered national architecture,2026-01-31,2026-03-21,Social,5703.46,P00042
CAM0039,Upgradable logistical Internet solution,2026-01-31,2026-03-17,Search,17928.71,P00034
