event_id,site_id,date_time,event_type,severity,is_lti,near_miss_flag,contributing_factor
SAFE00001,QLD001,2024-02-22 03:00:00,Near Miss,Medium,false,true,Operator error
SAFE00002,WA001,2024-01-22 23:00:00,Hazard Reported,High,false,false,Operator error
SAFE00003,NSW001,2024-07-20 14:00:00,Equipment Collision,high,false,false,Communication breakdown
SAFE00004,QLD001,2024-11-22 19:00:00,Safety Inspection,LOW,false,false,Inadequate training
SAFE00005,QLD001,2024-03-15 16:00:00,Incident - Minor Injury,MEDIUM,false,false,Inadequate training
SAFE00006,WA001,2024-08-30 04:00:00,Equipment Collision,low,false,false,Operator error
SAFE00007,NSW001,2024-03-19 09:00:00,Incident - Minor Injury,Low,false,false,Environmental conditions
SAFE00008,QLD001,2024-03-20 01:00:00,Safety Inspection,HIGH,false,false,Operator error
SAFE00009,QLD001,2024-02-14 22:00:00,Hazard Reported,High,false,false,Operator error
SAFE00010,QLD001,2024-07-24 09:00:00,Near Miss,Medium,false,true,Environmental conditions
SAFE00011,WA001,2024-02-28 13:00:00,Fall from Height,low,false,false,Environmental conditions
SAFE00012,QLD001,2024-11-17 12:00:00,Safety Inspection,low,false,false,Equipment malfunction
SAFE00013,WA001,2024-03-15 08:00:00,Incident - Minor Injury,Low,false,false,Inadequate training
SAFE00014,QLD001,2024-12-14 15:00:00,Near Miss,LOW,false,true,Inadequate training
SAFE00015,WA001,2024-02-01 22:00:00,Near Miss,low,false,true,Equipment malfunction
SAFE00016,QLD001,2024-12-24 10:00:00,Near Miss,low,false,true,Equipment malfunction
SAFE00017,WA001,2024-02-21 00:00:00,incident - minor injury,MEDIUM,false,false,Equipment malfunction
SAFE00018,NSW001,2024-01-13 13:00:00,fall from height,Medium,false,false,Equipment malfunction
SAFE00019,NSW001,2024-09-07 16:00:00,NEAR MISS,High,false,false,Operator error
SAFE00020,QLD001,2024-12-04 19:00:00,Fall from Height,high,false,false,Operator error
SAFE00021,QLD001,2024-07-21 19:00:00,Equipment Collision,high,false,false,Procedure not followed
SAFE00022,NSW001,2024-07-03 23:00:00,Incident - Minor Injury,low,false,false,Inadequate training
SAFE00023,WA001,2024-10-22 08:00:00,Hazard Reported,HIGH,false,false,Equipment malfunction
SAFE00024,WA001,2024-10-17 12:00:00,Equipment Collision,high,false,false,Environmental conditions
SAFE00025,NSW001,2024-03-13 14:00:00,near miss,Medium,false,false,Procedure not followed
SAFE00026,NSW001,2024-07-11 20:00:00,Fall from Height,HIGH,false,false,Environmental conditions
SAFE00027,QLD001,2024-10-12 23:00:00,Equipment Collision,Low,false,false,Operator error
SAFE00028,NSW001,2024-11-18 11:00:00,near miss,high,false,false,Equipment malfunction
SAFE00029,WA001,2024-11-04 15:00:00,near miss,Medium,false,false,Operator error
SAFE00030,WA001,2024-09-04 23:00:00,near miss,LOW,false,false,Communication breakdown
SAFE00031,NSW001,2024-09-23 13:00:00,Incident - First Aid,Low,false,false,Equipment malfunction
SAFE00032,NSW001,2024-08-11 12:00:00,equipment collision,low,false,false,Equipment malfunction
SAFE00033,WA001,2024-05-05 01:00:00,Near Miss,MEDIUM,false,true,Environmental conditions
SAFE00034,WA001,2024-07-13 01:00:00,Near Miss,low,true,true,Communication breakdown
SAFE00035,NSW001,2024-09-18 19:00:00,incident - minor injury,low,false,false,Procedure not followed
SAFE00036,NSW001,2024-12-15 18:00:00,fall from height,MEDIUM,false,false,Equipment malfunction
SAFE00037,QLD001,2024-09-23 15:00:00,near miss,HIGH,false,false,Equipment malfunction
SAFE00038,QLD001,2024-04-30 21:00:00,incident - first aid,High,false,false,Operator error
SAFE00039,QLD001,2024-01-26 04:00:00,EQUIPMENT COLLISION,low,false,false,Procedure not followed
SAFE00040,NSW001,2024-04-30 04:00:00,Equipment Collision,HIGH,false,false,Operator error
SAFE00041,QLD001,2024-03-14 06:00:00,Equipment Collision,low,false,false,Operator error
SAFE00042,QLD001,2024-04-14 00:00:00,Safety Inspection,LOW,false,false,Inadequate training
SAFE00043,WA001,2024-10-10 05:00:00,safety inspection,High,false,false,Procedure not followed
SAFE00044,QLD001,2024-09-02 23:00:00,incident - first aid,MEDIUM,false,false,Equipment malfunction
SAFE00045,QLD001,2024-11-04 21:00:00,fall from height,low,false,false,Equipment malfunction
SAFE00046,WA001,2024-04-05 12:00:00,Fall from Height,High,false,false,Inadequate training
