Product ID,Product Category,Product Subcategory,Product Name,Product Description,Product Price,Product Weight,Product Size,Order ID,Customer ID,Order Date,Order Status,Order Quantity,Order Total,Payment Method
1001,Mountain BIKES,Cross Country, TrailBlazer 1000 ,Lightweight and versatile,1200,25,m,2001,3001,1/03/2023,Shipped,2,2400,Credit Card
1002,Mountain Bikes,Cross Country,TrailBlazer 2000,High-performance mountain bike,1500,22,l,2002,3002,2/03/2023,Processing,1,1500,PayPal
1003,Road Bikes,Racing,SpeedMaster 1000 ,Agile and aerodynamic road bike,1800,18,S,2003,3003,3/03/2023,Cancelled,3,5400,Credit Card
1004,Road BIKES,Racing,SpeedMaster 2000,Premium racing road bike,2100,16,L,2004,3004,4/03/2023,Shipped,1,2100,Credit Card
1005,Touring Bikes,Long Distance,Explorer 1000 ,Comfortable and durable touring bike,1300,27,M,2005,3005,5/03/2023,Processing,2,2600,PayPal
1006,Touring Bikes,Long Distance,Explorer 2000,Advanced touring bike,1600,24,L,2006,3006,6/03/2023,Shipped,1,1600,Credit Card
1007,Mountain Bikes,Downhill,GravityMaster 1000,Rugged and durable downhill bike,2200,29,m,2007,3007,7/03/2023,Shipped,2,4400,PayPal
1008,Mountain Bikes,Downhill,       GravityMaster 2000 ,,2500,27,L,2008,3008,8/03/2023,Processing,1,2500,Credit Card
1021,Mountain Bikes,Trail,Pathfinder 1000,Agile trail bike for all skill levels,1100,24,M,2021,3021,21/03/2023,Shipped,2,2200,Credit Card
1022,mountain BIKES,Trail,Pathfinder 2000,High-performance trail bike,1400,21,l,2022,3022,22/03/2023,Processing,1,1400,PayPal
1023,Road Bikes,Touring,    Voyager 1000    ,Comfortable touring road bike,1700,20,M,2023,3023,23/03/2023,Cancelled,3,5100,Credit Card
1024,road Bikes,Touring,Voyager 2000,Advanced touring road bike,2000,18,L,2024,3024,24/03/2023,Shipped,1,2000,Credit Card
1025,Touring Bikes,,Adventurer 1000,Durable bike for long adventures,1500,28,m,2025,3025,25/03/2023,Processing,2,3000,PayPal
1026,Touring Bikes,Adventure,Adventurer 2000,Premium adventure touring bike,1800,26,L,2026,3026,26/03/2023,Shipped,1,1800,Credit Card
1027,Mountain Bikes,Enduro,EnduroMaster 1000,Endurance-focused mountain bike,2300,30,S,2027,3027,27/03/2023,Shipped,2,4600,PayPal
1028,mountain bikes,Enduro,EnduroMaster 2000,High-performance enduro mountain bike,2600,28,L,2028,3028,28/03/2023,Processing,1,2600,Credit Card
1041,Mountain Bikes,Fat Bikes,FatTrail 1000,All-terrain fat bike,1300,32,m,2041,3041,11/03/2023,Shipped,2,2600,Credit Card
1042,Mountain Bikes,Fat Bikes,FatTrail 2000,High-performance fat bike,1600,29,L,2042,3042,12/03/2023,Processing,1,1600,PayPal
1043,Road Bikes,Cyclocross,CrossRider 1000,Versatile cyclocross bike,1900,21,M,2043,3043,13/03/2023,Cancelled,3,5700,Credit Card
1044,Road Bikes,Cyclocross,CrossRider 2000,Advanced cyclocross bike,2200,19,L,2044,3044,14/03/2023,Shipped,1,2200,Credit Card
1045,Touring Bikes,Tandem,DuoExplorer 1000,Comfortable tandem touring bike,2000,36,M,2045,3045,15/03/2023,Processing,2,4000,PayPal
1046,Touring Bikes,Tandem,DuoExplorer 2000,High-performance tandem touring bike,2300,34,L,2046,3046,16/03/2023,Shipped,1,2300,Credit Card
